year,month,date,rolling_15m
2012,12,2012-12-01,35.84944946141916
2013,1,2013-01-01,36.265401170351865
2013,2,2013-02-01,36.265401170351865
2013,3,2013-03-01,36.99161873378406
2013,4,2013-04-01,36.9828357632704
2013,5,2013-05-01,36.36385535921821
2013,6,2013-06-01,35.35353447237659
2013,7,2013-07-01,36.09269837156655
2013,8,2013-08-01,35.638768824804664
2013,9,2013-09-01,35.35882125543563
2013,10,2013-10-01,35.16135635230142
2013,11,2013-11-01,36.0126042199412
2013,12,2013-12-01,35.353735681338875
2014,1,2014-01-01,36.45613056557978
2014,2,2014-02-01,36.324551726906265
2014,3,2014-03-01,36.83060769380433
2014,4,2014-04-01,36.40380937569045
2014,5,2014-05-01,37.98209167895266
2014,6,2014-06-01,37.204001432418174
2014,7,2014-07-01,36.04777123644307
2014,8,2014-08-01,36.76744026540935
2014,9,2014-09-01,37.940065234444155
2014,10,2014-10-01,39.17679555422439
2014,11,2014-11-01,38.29289308541664
2014,12,2014-12-01,38.446578058285205
2015,1,2015-01-01,36.57517540940052
2015,2,2015-02-01,36.57517540940052
2015,3,2015-03-01,36.53883581365423
2015,4,2015-04-01,36.217380822882554
2015,5,2015-05-01,34.763734829012634
2015,6,2015-06-01,33.889635734925314
2015,7,2015-07-01,33.297032246202654
2015,8,2015-08-01,32.24332145150497
2015,9,2015-09-01,32.24332145150497
2015,10,2015-10-01,31.275549379785442
2015,11,2015-11-01,31.10104390949539
2015,12,2015-12-01,29.97738707068053
2016,1,2016-01-01,28.949304053673664
2016,2,2016-02-01,29.81332970109163
2016,3,2016-03-01,30.15799641306101
2016,4,2016-04-01,32.06538219166172
2016,5,2016-05-01,30.41680110287204
2016,6,2016-06-01,30.453140698618334
2016,7,2016-07-01,29.909877812473095
2016,8,2016-08-01,31.363523806343018
2016,9,2016-09-01,31.55687543183469
2016,10,2016-10-01,33.54966565279731
2016,11,2016-11-01,36.30485410771791
2016,12,2016-12-01,36.61543232969847
2017,1,2017-01-01,37.70801737655799
2017,2,2017-02-01,36.94506370654599
2017,3,2017-03-01,38.22211534073007
2017,4,2017-04-01,39.005333915541776
2017,5,2017-05-01,39.207288705349434
2017,6,2017-06-01,39.80504684562165
2017,7,2017-07-01,38.2960002328609
2017,8,2017-08-01,39.127667063875165
2017,9,2017-09-01,39.826740117494865
2017,10,2017-10-01,40.3700030036401
2017,11,2017-11-01,40.374968715579676
2017,12,2017-12-01,40.164889530154355
2018,1,2018-01-01,39.047373651126286
2018,2,2018-02-01,36.27641710375992
2018,3,2018-03-01,35.885557408924065
2018,4,2018-04-01,37.2553963607926
2018,5,2018-05-01,37.54014783929278
2018,6,2018-06-01,37.50975213443316
2018,7,2018-07-01,37.49286484144015
2018,8,2018-08-01,37.42333246797994
2018,9,2018-09-01,37.54959090100391
2018,10,2018-10-01,38.705588759353084
2018,11,2018-11-01,39.945913256892155
2018,12,2018-12-01,38.771509872845556
2019,1,2019-01-01,38.987906610431146
2019,2,2019-02-01,39.479224264806255
2019,3,2019-03-01,39.756744813078434
2019,4,2019-04-01,40.44964442990646
2019,5,2019-05-01,41.917123199553664
2019,6,2019-06-01,41.35281682179149
2019,7,2019-07-01,39.98298415061224
2019,8,2019-08-01,39.63571751369859
2019,9,2019-09-01,38.582881723148645
2019,10,2019-10-01,39.00585590985869
2019,11,2019-11-01,38.94895801111451
2019,12,2019-12-01,37.8886919547172
2020,1,2020-01-01,38.45834170904765
2020,2,2020-02-01,37.057353712722616
2020,3,2020-03-01,37.850639828470705
2020,4,2020-04-01,37.37277630431385
2020,5,2020-05-01,37.8126729879542
2020,6,2020-06-01,36.56431274556435
2020,7,2020-07-01,35.86422287633381
2020,8,2020-08-01,34.81551472382891
2020,9,2020-09-01,37.151414012208456
2020,10,2020-10-01,36.8381804304902
2020,11,2020-11-01,36.92550034868322
2020,12,2020-12-01,37.62306905945282
2021,1,2021-01-01,36.31150444764
2021,2,2021-02-01,34.43692458880681
2021,3,2021-03-01,33.63330580682223
2021,4,2021-04-01,33.54015692403954
2021,5,2021-05-01,34.67615627017951
2021,6,2021-06-01,33.8262068604494
2021,7,2021-07-01,34.25323655573142
2021,8,2021-08-01,32.98067159726748
2021,9,2021-09-01,32.32351787248364
2021,10,2021-10-01,32.30565537079135
2021,11,2021-11-01,32.636822445571546
2021,12,2021-12-01,31.075180314045703
2022,1,2022-01-01,32.44873677206833
2022,2,2022-02-01,31.69869257554938
2022,3,2022-03-01,29.934983603549636
2022,4,2022-04-01,30.006664686766577
2022,5,2022-05-01,31.349554925717616
2022,6,2022-06-01,32.09959912223656
2022,7,2022-07-01,30.53795699071072
