,track_title,album,release_date_clean,avg_arousal_x,avg_valence_x,mania_index_x,depression_index_x,track_emo_score
104,Pt. 2,The Life of Pablo,14.02.2016,58.333333333333336,76.57142857142857,76.16666666666667,23.16666666666666,10.731987301587305
105,Famous,The Life of Pablo,14.02.2016,73.33333333333333,77.1590909090909,93.25,14.958333333333332,53.06939225589224
106,Feedback,The Life of Pablo,14.02.2016,73.33333333333333,77.1590909090909,93.25,14.958333333333332,53.06939225589224
107,Low Lights,The Life of Pablo,14.02.2016,58.333333333333336,59.142857142857146,72.00000000000001,31.416666666666664,5.365951322751327
108,Highlights,The Life of Pablo,14.02.2016,65.0,77.82051282051282,83.08333333333334,14.458333333333332,26.66663076923077
109,Freestyle 4,The Life of Pablo,14.02.2016,68.33333333333333,44.81707317073171,89.37500000000001,34.479166666666664,12.197035004516712
110,I Love Kanye,The Life of Pablo,14.02.2016,52.5,70.23809523809524,63.125,23.4375,1.8633214285714288
111,Waves,The Life of Pablo,14.02.2016,82.5,82.42424242424242,109.25,10.249999999999998,105.89090909090909
112,FML,The Life of Pablo,14.02.2016,61.666666666666664,23.91891891891892,82.25000000000001,48.208333333333336,-3.7497535535535524
113,Real Friends,The Life of Pablo,14.02.2016,57.0,35.43859649122807,69.80000000000001,44.6,-1.0553842526315789
114,Wolves,The Life of Pablo,14.02.2016,71.0,65.0,87.64999999999998,23.575,32.7810672
115,Frank's Track,The Life of Pablo,14.02.2016,63.333333333333336,77.63157894736842,80.83333333333333,14.583333333333334,22.232421052631583
116,Siiiiiiiiilver Surffffeeeeer Intermission,The Life of Pablo,14.02.2016,48.333333333333336,66.89655172413794,56.50000000000001,27.0,0.725498850574712
117,30 Hours,The Life of Pablo,14.02.2016,52.0,64.03846153846153,59.30000000000001,27.65,1.0048735999999996
118,No More Parties in LA,The Life of Pablo,14.02.2016,72.5,24.913793103448278,90.68750000000001,47.78125,3.5642443965517288
119,Facts (Charlie Heat Version),,14.02.2016,73.33333333333333,77.1590909090909,93.25,14.958333333333332,53.06939225589224
120,Fade,The Life of Pablo,14.02.2016,51.25,56.707317073170735,60.68749999999999,36.40624999999999,0.3000189024390245
121,Saint Pablo,,14.02.2016,55.0,54.09090909090909,67.0,31.125000000000004,1.6614000000000009
122,I Thought About Killing You,Ye,01.06.2018,61.666666666666664,38.78378378378378,70.41666666666666,41.12499999999999,1.4997335335335322
123,Yikes,Ye,01.06.2018,58.333333333333336,24.857142857142858,73.0,51.416666666666664,-3.290912169312169
124,All Mine,Ye,01.06.2018,65.0,53.84615384615385,73.16666666666666,33.33333333333333,11.320246153846153
125,Wouldn't Leave,Ye,01.06.2018,88.33333333333333,65.47169811320755,120.66666666666666,21.41666666666667,109.89359496855344
126,No Mistakes,Ye,01.06.2018,48.333333333333336,69.65517241379311,57.833333333333336,22.666666666666664,0.8934968071519789
127,Ghost Town,Ye,01.06.2018,46.666666666666664,48.57142857142857,59.333333333333336,38.00000000000001,-0.550027513227514
128,Violent Crimes,Ye,01.06.2018,63.333333333333336,50.921052631578945,82.58333333333333,27.791666666666664,8.606448343079924
129,Feel The Love,,08.06.2018,65.0,49.87179487179487,87.75,42.04166666666666,9.76976923076923
130,Fire,Kids See Ghosts,08.06.2018,56.666666666666664,68.52941176470588,67.16666666666667,22.75,5.945749891067534
131,4th Dimension,Kids See Ghosts,08.06.2018,73.33333333333333,41.02272727272727,90.75000000000001,35.041666666666664,17.91896531986531
132,Freeee (Ghost Town Pt. 2),Kids See Ghosts,08.06.2018,61.666666666666664,73.24324324324324,76.00000000000001,20.083333333333332,15.72334254254254
133,Reborn,Kids See Ghosts,08.06.2018,45.0,59.629629629629626,53.0,29.25,0.4231111111111105
134,Kids See Ghosts,Kids See Ghosts,08.06.2018,53.333333333333336,53.90625,62.75000000000001,34.375,0.8197041666666675
135,Cudi Montage,Kids See Ghosts,08.06.2018,55.0,71.96969696969697,67.08333333333334,20.624999999999996,4.713545454545455
136,Every Hour,Jesus Is King,25.10.2019,68.33333333333333,70.2439024390244,91.16666666666667,26.5,29.835132068654016
137,Selah,Jesus Is King,25.10.2019,61.666666666666664,76.48648648648648,77.99999999999999,16.083333333333332,17.602722722722717
138,Follow God,Jesus Is King,25.10.2019,50.0,57.0,62.500000000000014,34.25,0.0
139,Closed on Sunday,Jesus Is King,25.10.2019,58.333333333333336,53.0,69.25,34.62499999999999,3.6039777777777795
140,On God,Jesus Is King,25.10.2019,48.333333333333336,34.827586206896555,57.333333333333336,47.58333333333333,-0.7500567049808415
141,Everything We Need,Jesus Is King,25.10.2019,53.333333333333336,72.8125,72.16666666666667,29.416666666666668,2.9263055555555586
142,Water,Jesus Is King,25.10.2019,48.333333333333336,61.37931034482759,55.83333333333332,27.333333333333336,0.449796168582375
143,God Is,Jesus Is King,25.10.2019,51.666666666666664,60.483870967741936,66.25000000000001,28.124999999999993,0.6632580645161278
144,Hands On,Jesus Is King,25.10.2019,63.333333333333336,78.94736842105263,81.66666666666667,15.0,22.926471734892793
145,Use This Gospel,Jesus Is King,25.10.2019,53.333333333333336,64.6875,64.83333333333334,25.58333333333333,2.0111500000000015
146,Jesus Is Lord,Jesus Is King,25.10.2019,52.5,60.0,61.24999999999999,22.0,1.0512
147,Donda Chant,Donda,29.08.2021,55.0,49.54545454545455,62.75000000000001,28.625,0.9489636363636369
148,Jail,Donda,29.08.2021,48.333333333333336,50.172413793103445,55.08333333333334,39.625,-0.09213205619412504
149,God Breathed,Donda,29.08.2021,36.666666666666664,46.13636363636363,49.08333333333334,55.125,-6.59053198653199
150,Off The Grid,,29.08.2021,70.0,50.23809523809524,92.5,37.58333333333333,18.58796190476191
151,Hurricane,Donda,29.08.2021,68.33333333333333,84.26829268292683,91.75,11.291666666666666,42.46183432700993
152,Praise God,Donda,29.08.2021,35.0,40.714285714285715,40.5,54.625,-9.351514285714284
153,Jonah,Donda,29.08.2021,60.0,38.333333333333336,81.0,43.166666666666664,0.5210666666666686
154,Ok Ok,Donda,29.08.2021,40.0,33.333333333333336,46.666666666666664,54.99999999999999,-6.72
155,Junya,Donda,29.08.2021,60.0,63.125,67.875,26.437500000000004,8.455025000000001
156,Believe What I Say,Donda,29.08.2021,38.333333333333336,73.91304347826087,47.49999999999999,19.999999999999996,2.8549178743961368
157,24,Donda,29.08.2021,43.333333333333336,59.61538461538461,54.166666666666664,32.916666666666664,0.13599999999999993
158,Remote Control,Donda,29.08.2021,61.666666666666664,59.054054054054056,74.58333333333334,29.04166666666666,9.401198998998998
159,Moon,Donda,29.08.2021,53.333333333333336,45.0,57.666666666666664,40.33333333333333,-0.050607407407407136
160,Heaven and Hell,Donda,29.08.2021,61.666666666666664,44.729729729729726,76.91666666666667,37.958333333333336,3.7774424424424398
161,Donda,Donda,29.08.2021,61.666666666666664,46.486486486486484,72.83333333333334,33.5,4.432755955955955
162,Keep My Spirit Alive,Donda,29.08.2021,48.333333333333336,72.75862068965517,59.333333333333336,20.083333333333332,1.0793931034482747
163,Jesus Lord,Donda,29.08.2021,50.0,50.0,0.0,0.0,0.0
164,New Again,Donda,29.08.2021,65.0,71.41025641025641,78.91666666666666,20.708333333333332,21.84970769230769
165,Tell the Vision,Donda,29.08.2021,57.5,77.82608695652173,73.50000000000001,16.125,9.933886956521738
166,Lord I Need You,Donda,29.08.2021,55.0,45.303030303030305,66.58333333333334,36.625,0.2930121212121218
