date,2_month_rolling_mean
2018-10-20,38.165120261437906
2018-10-21,34.88312026143792
2018-10-22,29.954120261437904
2018-10-24,30.268355555555555
2018-10-26,32.58768888888889
2018-10-27,32.68768888888889
2018-10-28,31.215977777777777
2018-10-30,30.77508888888889
2018-11-01,31.320022222222224
2018-11-04,32.87802222222222
2018-11-08,33.919355555555555
2018-11-09,34.006800000000005
2018-11-10,38.144244444444446
2018-11-11,37.48724444444444
2018-11-13,38.12491111111111
2018-11-14,36.38677777777778
2018-11-15,40.06711111111111
2018-11-16,42.38211111111111
2018-11-18,41.77611111111111
2018-11-24,36.66077777777778
2018-11-30,36.660777777777774
2018-12-03,39.14844444444444
2018-12-04,38.23433333333334
2018-12-10,39.03333333333333
2018-12-11,39.47933333333333
2018-12-12,38.5525
2018-12-13,39.077625000000005
2018-12-14,37.79982967836257
2018-12-15,38.04990375243665
2018-12-17,35.60657041910331
2018-12-18,33.75723708576998
2018-12-19,28.858237085769982
2018-12-21,31.281570419103318
2018-12-23,32.395570419103315
2018-12-26,36.38823708576999
2018-12-29,38.09123708576998
2018-12-30,31.486570419103312
2018-12-31,31.201665657198554
2019-01-01,30.103756566289462
2019-10-21,28.63642323295613
2019-10-24,32.7545898996228
2019-10-25,35.480464899622795
2019-10-27,33.56826022126022
2019-10-31,35.79251948051948
2019-11-03,39.766186147186154
2019-11-08,41.56585281385281
2019-11-17,44.42085281385281
2019-11-18,44.42085281385281
2019-11-24,39.92018614718615
2019-11-25,37.78285281385282
2019-11-27,34.26185281385281
2019-12-20,39.657186147186145
2019-12-22,37.83609090909091
2020-01-03,36.87566666666667
2020-01-26,34.48566666666667
2020-01-28,31.203666666666667
2020-02-05,28.576333333333334
2020-02-12,31.735333333333337
2020-03-02,27.527333333333335
2020-06-26,24.989238095238093
2020-06-27,27.6392380952381
2020-06-29,28.042238095238098
2020-06-30,26.942571428571434
2020-07-01,29.833238095238094
2020-07-05,28.393238095238097
2020-07-08,31.961904761904766
2020-07-09,28.67057142857143
2020-07-10,32.52990476190476
2020-07-11,30.427904761904763
2020-07-13,29.3052380952381
2020-07-14,30.073238095238096
2020-07-15,30.47357142857143
2020-07-17,29.760349206349208
2020-07-18,29.94987301587302
2020-07-19,26.71130158730159
2020-07-21,26.45957694962043
2020-07-22,26.728632505175984
2020-07-25,27.07929917184265
2020-07-31,28.689299171842652
2020-08-07,28.273965838509316
2020-08-08,25.091965838509317
2020-08-09,27.990683787227265
2020-08-11,23.28568378722726
2020-08-12,25.27422545389393
2020-08-14,29.808225453893932
2020-08-15,29.677169898338377
2020-08-17,30.97696989833838
2020-08-18,32.88285878722726
2020-08-19,34.04066831103679
2020-08-20,39.81733497770346
2020-08-21,39.79472628205128
2020-09-02,42.1063373931624
2020-09-03,42.00967072649573
2020-09-06,44.0823373931624
2020-09-08,49.27100405982906
2020-09-09,51.276004059829056
2020-09-10,53.87878611111111
2020-09-11,56.511563888888894
2020-09-13,59.17702222222223
2020-09-14,59.21035555555556
2020-09-15,58.45291111111111
2020-09-16,56.3253492063492
2020-09-17,53.2182380952381
2020-09-18,54.191722943722944
2020-09-19,52.99672294372294
2020-09-20,52.13770072150073
2020-09-21,51.89370072150073
2020-09-22,50.758034054834056
2020-09-23,49.43536738816739
2020-09-24,47.91042294372294
2020-09-25,47.74871461038961
2020-09-26,43.54543683261183
2020-09-28,43.92899238816738
2020-09-29,40.66999238816739
2020-10-01,40.93965905483405
2020-10-02,42.57915905483405
2020-10-03,44.837254292929295
2020-10-06,47.9943654040404
2020-10-08,48.08710277777778
2020-10-09,47.75210277777778
2020-10-12,47.86356944444445
2020-10-13,47.789236111111116
2020-10-14,48.24079166666666
2020-10-15,46.806124999999994
2020-10-16,46.14273611111111
2020-10-17,45.653
2020-10-18,49.227626262626266
2020-10-19,48.2709595959596
2020-10-21,45.68662626262627
2020-10-22,41.676959595959595
2020-10-23,34.76262626262626
2020-10-24,32.817292929292925
2020-10-26,28.609292929292927
2020-10-27,29.575292929292928
2020-10-28,26.840626262626262
2020-10-29,26.662848484848485
2020-10-30,25.399848484848484
2020-10-31,25.2409595959596
2020-11-02,27.20162626262626
2020-11-03,28.947395493395494
2022-08-25,28.96317327117327
2022-10-08,30.66365811965812
2022-10-09,30.925213675213676
2022-11-03,35.82862108262108
2022-11-04,37.47015441595442
2022-11-20,41.77948774928775
2022-11-23,39.07082108262107
2022-11-27,39.67415441595441
2022-11-28,35.848598860398866
2022-12-01,38.66779886039886
2022-12-02,38.71979886039887
